dataset,detector,video_name,true_label,n_frames,n_correct_frames,n_wrong_frames,frame_accuracy,avg_prob_fake,std_prob_fake,video_pred_by_avg,video_correct_by_avg,video_pred_by_majority,video_correct_by_majority
frames_cropped_faces_10src,F3Net,10_1,fake,20,4,16,0.2,0.656579,0.022117,fake,1,real,0
frames_cropped_faces_10src,F3Net,10_10,fake,20,12,8,0.6,0.680252,0.018214,fake,1,fake,1
frames_cropped_faces_10src,F3Net,10_11,fake,20,9,11,0.45,0.6737,0.016679,fake,1,real,0
frames_cropped_faces_10src,F3Net,10_12,fake,20,12,8,0.6,0.689437,0.0264,fake,1,fake,1
frames_cropped_faces_10src,F3Net,10_13,fake,20,0,20,0.0,0.630682,0.022602,real,0,real,0
frames_cropped_faces_10src,F3Net,10_14,fake,20,4,16,0.2,0.657642,0.021044,fake,1,real,0
frames_cropped_faces_10src,F3Net,10_15,fake,20,1,19,0.05,0.644194,0.022697,real,0,real,0
frames_cropped_faces_10src,F3Net,10_16,fake,20,11,9,0.55,0.682132,0.024719,fake,1,fake,1
frames_cropped_faces_10src,F3Net,10_17,fake,20,20,0,1.0,0.756579,0.017637,fake,1,fake,1
frames_cropped_faces_10src,F3Net,10_18,fake,20,7,13,0.35,0.665815,0.037489,fake,1,real,0
frames_cropped_faces_10src,F3Net,10_19,fake,20,20,0,1.0,0.767544,0.038156,fake,1,fake,1
frames_cropped_faces_10src,F3Net,10_2,fake,20,18,2,0.9,0.728111,0.031047,fake,1,fake,1
frames_cropped_faces_10src,F3Net,10_20,fake,20,2,18,0.1,0.656314,0.023593,fake,1,real,0
frames_cropped_faces_10src,F3Net,10_21,fake,20,3,17,0.15,0.652665,0.023786,real,0,real,0
frames_cropped_faces_10src,F3Net,10_22,fake,20,2,18,0.1,0.628817,0.041081,real,0,real,0
frames_cropped_faces_10src,F3Net,10_23,fake,20,20,0,1.0,0.715636,0.016139,fake,1,fake,1
frames_cropped_faces_10src,F3Net,10_24,fake,20,2,18,0.1,0.63388,0.031441,real,0,real,0
frames_cropped_faces_10src,F3Net,10_25,fake,20,17,3,0.85,0.70042,0.019653,fake,1,fake,1
frames_cropped_faces_10src,F3Net,10_26,fake,20,7,13,0.35,0.67255,0.021063,fake,1,real,0
frames_cropped_faces_10src,F3Net,10_27,fake,20,5,15,0.25,0.67082,0.013556,fake,1,real,0
frames_cropped_faces_10src,F3Net,10_28,fake,20,20,0,1.0,0.712255,0.014776,fake,1,fake,1
frames_cropped_faces_10src,F3Net,10_29,fake,20,5,15,0.25,0.654289,0.038544,real,0,real,0
frames_cropped_faces_10src,F3Net,10_3,fake,20,1,19,0.05,0.633238,0.024813,real,0,real,0
frames_cropped_faces_10src,F3Net,10_30,fake,20,4,16,0.2,0.659571,0.02207,fake,1,real,0
frames_cropped_faces_10src,F3Net,10_31,fake,20,2,18,0.1,0.654305,0.018237,fake,1,real,0
frames_cropped_faces_10src,F3Net,10_32,fake,20,4,16,0.2,0.655725,0.025725,fake,1,real,0
frames_cropped_faces_10src,F3Net,10_33,fake,20,14,6,0.7,0.692577,0.023915,fake,1,fake,1
frames_cropped_faces_10src,F3Net,10_34,fake,20,14,6,0.7,0.688585,0.019479,fake,1,fake,1
frames_cropped_faces_10src,F3Net,10_35,fake,20,8,12,0.4,0.66649,0.021896,fake,1,real,0
frames_cropped_faces_10src,F3Net,10_36,fake,20,13,7,0.65,0.685708,0.032398,fake,1,fake,1
frames_cropped_faces_10src,F3Net,10_37,fake,20,13,7,0.65,0.690703,0.028361,fake,1,fake,1
frames_cropped_faces_10src,F3Net,10_38,fake,20,15,5,0.75,0.693394,0.02531,fake,1,fake,1
frames_cropped_faces_10src,F3Net,10_39,fake,20,4,16,0.2,0.657145,0.028346,fake,1,real,0
frames_cropped_faces_10src,F3Net,10_4,fake,20,15,5,0.75,0.699539,0.061664,fake,1,fake,1
frames_cropped_faces_10src,F3Net,10_40,fake,20,17,3,0.85,0.718716,0.030025,fake,1,fake,1
frames_cropped_faces_10src,F3Net,10_41,fake,20,15,5,0.75,0.692616,0.018019,fake,1,fake,1
frames_cropped_faces_10src,F3Net,10_42,fake,20,11,9,0.55,0.690474,0.029645,fake,1,fake,1
frames_cropped_faces_10src,F3Net,10_43,fake,20,18,2,0.9,0.699654,0.015786,fake,1,fake,1
frames_cropped_faces_10src,F3Net,10_44,fake,20,0,20,0.0,0.644487,0.015279,real,0,real,0
frames_cropped_faces_10src,F3Net,10_45,fake,20,0,20,0.0,0.613038,0.021849,real,0,real,0
frames_cropped_faces_10src,F3Net,10_46,fake,20,5,15,0.25,0.667053,0.017504,fake,1,real,0
frames_cropped_faces_10src,F3Net,10_47,fake,20,19,1,0.95,0.72709,0.028485,fake,1,fake,1
frames_cropped_faces_10src,F3Net,10_48,fake,20,20,0,1.0,0.734601,0.0156,fake,1,fake,1
frames_cropped_faces_10src,F3Net,10_49,fake,20,8,12,0.4,0.6725,0.022904,fake,1,real,0
frames_cropped_faces_10src,F3Net,10_5,fake,20,16,4,0.8,0.706565,0.032951,fake,1,fake,1
frames_cropped_faces_10src,F3Net,10_50,fake,20,8,12,0.4,0.672517,0.025283,fake,1,real,0
frames_cropped_faces_10src,F3Net,10_6,fake,20,7,13,0.35,0.665755,0.032358,fake,1,real,0
frames_cropped_faces_10src,F3Net,10_7,fake,20,0,20,0.0,0.636369,0.017853,real,0,real,0
frames_cropped_faces_10src,F3Net,10_8,fake,20,12,8,0.6,0.682663,0.026353,fake,1,fake,1
frames_cropped_faces_10src,F3Net,10_9,fake,20,15,5,0.75,0.692862,0.015793,fake,1,fake,1
frames_cropped_faces_10src,F3Net,Ali,real,20,20,0,1.0,0.633056,0.018817,real,1,real,1
frames_cropped_faces_10src,F3Net,Elizebeth,real,20,7,13,0.35,0.686805,0.020723,fake,0,fake,0
frames_cropped_faces_10src,F3Net,Ganesh,real,20,3,17,0.15,0.704871,0.030816,fake,0,fake,0
frames_cropped_faces_10src,F3Net,aji,real,20,20,0,1.0,0.631051,0.015088,real,1,real,1
frames_cropped_faces_10src,F3Net,akbar,real,20,19,1,0.95,0.643292,0.02465,real,1,real,1
frames_cropped_faces_10src,F3Net,akhil,real,20,14,6,0.7,0.677399,0.016998,fake,0,real,1
frames_cropped_faces_10src,F3Net,akshay,real,20,6,14,0.3,0.699436,0.031174,fake,0,fake,0
frames_cropped_faces_10src,F3Net,alib,real,20,14,6,0.7,0.671565,0.013763,fake,0,real,1
frames_cropped_faces_10src,F3Net,ameen,real,20,2,18,0.1,0.699022,0.023489,fake,0,fake,0
frames_cropped_faces_10src,F3Net,ammu,real,20,12,8,0.6,0.670344,0.038809,fake,0,real,1
frames_cropped_faces_10src,F3Net,anandu,real,20,7,13,0.35,0.686195,0.015559,fake,0,fake,0
frames_cropped_faces_10src,F3Net,anish,real,20,11,9,0.55,0.673184,0.028235,fake,0,real,1
frames_cropped_faces_10src,F3Net,ansu,real,20,12,8,0.6,0.6719,0.018431,fake,0,real,1
frames_cropped_faces_10src,F3Net,arnold,real,20,16,4,0.8,0.658809,0.022975,fake,0,real,1
frames_cropped_faces_10src,F3Net,assif_,real,20,20,0,1.0,0.587768,0.046547,real,1,real,1
frames_cropped_faces_10src,F3Net,baptist,real,20,20,0,1.0,0.631854,0.023081,real,1,real,1
frames_cropped_faces_10src,F3Net,binisha_,real,20,16,4,0.8,0.663229,0.01824,fake,0,real,1
frames_cropped_faces_10src,F3Net,chettai,real,20,12,8,0.6,0.658534,0.038004,fake,0,real,1
frames_cropped_faces_10src,F3Net,chris,real,20,19,1,0.95,0.654983,0.015916,fake,0,real,1
frames_cropped_faces_10src,F3Net,christian,real,20,18,2,0.9,0.647873,0.02457,real,1,real,1
frames_cropped_faces_10src,F3Net,col,real,20,17,3,0.85,0.652788,0.029159,real,1,real,1
frames_cropped_faces_10src,F3Net,darwish,real,20,18,2,0.9,0.649432,0.024788,real,1,real,1
frames_cropped_faces_10src,F3Net,deeps,real,20,20,0,1.0,0.638014,0.015253,real,1,real,1
frames_cropped_faces_10src,F3Net,denna,real,20,10,10,0.5,0.681269,0.030093,fake,0,fake,0
frames_cropped_faces_10src,F3Net,fathima,real,20,20,0,1.0,0.635234,0.018219,real,1,real,1
frames_cropped_faces_10src,F3Net,jelvin,real,20,19,1,0.95,0.641818,0.020727,real,1,real,1
frames_cropped_faces_10src,F3Net,jennifer,real,20,17,3,0.85,0.635955,0.033519,real,1,real,1
frames_cropped_faces_10src,F3Net,jissa,real,20,8,12,0.4,0.686581,0.014894,fake,0,fake,0
frames_cropped_faces_10src,F3Net,kevin,real,20,4,16,0.2,0.715825,0.032495,fake,0,fake,0
frames_cropped_faces_10src,F3Net,lena,real,20,6,14,0.3,0.694605,0.024315,fake,0,fake,0
frames_cropped_faces_10src,F3Net,liya,real,20,19,1,0.95,0.652677,0.02177,real,1,real,1
frames_cropped_faces_10src,F3Net,liyamom,real,20,18,2,0.9,0.639242,0.03593,real,1,real,1
frames_cropped_faces_10src,F3Net,malu,real,20,20,0,1.0,0.636217,0.026554,real,1,real,1
frames_cropped_faces_10src,F3Net,nevin,real,20,17,3,0.85,0.648162,0.031845,real,1,real,1
frames_cropped_faces_10src,F3Net,niranjan,real,20,20,0,1.0,0.643141,0.014758,real,1,real,1
frames_cropped_faces_10src,F3Net,praveen,real,20,18,2,0.9,0.650465,0.019223,real,1,real,1
frames_cropped_faces_10src,F3Net,pushpan,real,20,0,20,0.0,0.731211,0.017759,fake,0,fake,0
frames_cropped_faces_10src,F3Net,rahul,real,20,18,2,0.9,0.649527,0.021789,real,1,real,1
frames_cropped_faces_10src,F3Net,raju,real,20,6,14,0.3,0.682499,0.01997,fake,0,fake,0
frames_cropped_faces_10src,F3Net,rasee,real,20,14,6,0.7,0.666734,0.021157,fake,0,real,1
frames_cropped_faces_10src,F3Net,roshan,real,20,8,12,0.4,0.681191,0.019399,fake,0,fake,0
frames_cropped_faces_10src,F3Net,sachin,real,20,8,12,0.4,0.68921,0.029977,fake,0,fake,0
frames_cropped_faces_10src,F3Net,salim,real,20,17,3,0.85,0.656472,0.023647,fake,0,real,1
frames_cropped_faces_10src,F3Net,seethu,real,20,5,15,0.25,0.700984,0.041362,fake,0,fake,0
frames_cropped_faces_10src,F3Net,shanty,real,20,3,17,0.15,0.780703,0.070446,fake,0,fake,0
frames_cropped_faces_10src,F3Net,subu,real,20,12,8,0.6,0.667221,0.030299,fake,0,real,1
frames_cropped_faces_10src,F3Net,teggy,real,20,6,14,0.3,0.697991,0.042515,fake,0,fake,0
frames_cropped_faces_10src,F3Net,thomas,real,20,16,4,0.8,0.665884,0.021215,fake,0,real,1
frames_cropped_faces_10src,F3Net,umesh,real,20,18,2,0.9,0.662839,0.022261,fake,0,real,1
frames_cropped_faces_10src,F3Net,yad,real,20,20,0,1.0,0.619296,0.028465,real,1,real,1
