dataset,detector,video_name,true_label,n_frames,n_correct_frames,n_wrong_frames,frame_accuracy,avg_prob_fake,std_prob_fake,video_pred_by_avg,video_correct_by_avg,video_pred_by_majority,video_correct_by_majority
frames_cropped_faces_10src,Xception,10_1,fake,20,1,19,0.05,0.4121,0.023638,fake,1,real,0
frames_cropped_faces_10src,Xception,10_10,fake,20,6,14,0.3,0.443847,0.034106,fake,1,real,0
frames_cropped_faces_10src,Xception,10_11,fake,20,20,0,1.0,0.591035,0.043206,fake,1,fake,1
frames_cropped_faces_10src,Xception,10_12,fake,20,18,2,0.9,0.502442,0.04095,fake,1,fake,1
frames_cropped_faces_10src,Xception,10_13,fake,20,0,20,0.0,0.398158,0.014095,real,0,real,0
frames_cropped_faces_10src,Xception,10_14,fake,20,2,18,0.1,0.418206,0.020501,fake,1,real,0
frames_cropped_faces_10src,Xception,10_15,fake,20,20,0,1.0,0.547134,0.055068,fake,1,fake,1
frames_cropped_faces_10src,Xception,10_16,fake,20,3,17,0.15,0.43454,0.014432,fake,1,real,0
frames_cropped_faces_10src,Xception,10_17,fake,20,0,20,0.0,0.389863,0.022128,real,0,real,0
frames_cropped_faces_10src,Xception,10_18,fake,20,3,17,0.15,0.420996,0.024792,fake,1,real,0
frames_cropped_faces_10src,Xception,10_19,fake,20,8,12,0.4,0.452883,0.024722,fake,1,real,0
frames_cropped_faces_10src,Xception,10_2,fake,20,19,1,0.95,0.510008,0.062474,fake,1,fake,1
frames_cropped_faces_10src,Xception,10_20,fake,20,18,2,0.9,0.51064,0.035598,fake,1,fake,1
frames_cropped_faces_10src,Xception,10_21,fake,20,3,17,0.15,0.415146,0.035903,fake,1,real,0
frames_cropped_faces_10src,Xception,10_22,fake,20,20,0,1.0,0.543835,0.035771,fake,1,fake,1
frames_cropped_faces_10src,Xception,10_23,fake,20,0,20,0.0,0.40282,0.018562,real,0,real,0
frames_cropped_faces_10src,Xception,10_24,fake,20,20,0,1.0,0.664942,0.040109,fake,1,fake,1
frames_cropped_faces_10src,Xception,10_25,fake,20,16,4,0.8,0.474607,0.023315,fake,1,fake,1
frames_cropped_faces_10src,Xception,10_26,fake,20,18,2,0.9,0.474843,0.022901,fake,1,fake,1
frames_cropped_faces_10src,Xception,10_27,fake,20,1,19,0.05,0.417232,0.02299,fake,1,real,0
frames_cropped_faces_10src,Xception,10_28,fake,20,16,4,0.8,0.556211,0.123718,fake,1,fake,1
frames_cropped_faces_10src,Xception,10_29,fake,20,8,12,0.4,0.445237,0.026627,fake,1,real,0
frames_cropped_faces_10src,Xception,10_3,fake,20,20,0,1.0,0.535053,0.047842,fake,1,fake,1
frames_cropped_faces_10src,Xception,10_30,fake,20,20,0,1.0,0.543763,0.052082,fake,1,fake,1
frames_cropped_faces_10src,Xception,10_31,fake,20,10,10,0.5,0.451717,0.057492,fake,1,fake,1
frames_cropped_faces_10src,Xception,10_32,fake,20,10,10,0.5,0.432536,0.044411,fake,1,fake,1
frames_cropped_faces_10src,Xception,10_33,fake,20,2,18,0.1,0.424374,0.025443,fake,1,real,0
frames_cropped_faces_10src,Xception,10_34,fake,20,1,19,0.05,0.410937,0.02406,fake,1,real,0
frames_cropped_faces_10src,Xception,10_35,fake,20,14,6,0.7,0.463912,0.021718,fake,1,fake,1
frames_cropped_faces_10src,Xception,10_36,fake,20,6,14,0.3,0.435962,0.022911,fake,1,real,0
frames_cropped_faces_10src,Xception,10_37,fake,20,14,6,0.7,0.477183,0.034216,fake,1,fake,1
frames_cropped_faces_10src,Xception,10_38,fake,20,20,0,1.0,0.51625,0.035042,fake,1,fake,1
frames_cropped_faces_10src,Xception,10_39,fake,20,18,2,0.9,0.502796,0.040859,fake,1,fake,1
frames_cropped_faces_10src,Xception,10_4,fake,20,5,15,0.25,0.464931,0.13087,fake,1,real,0
frames_cropped_faces_10src,Xception,10_40,fake,20,15,5,0.75,0.465664,0.045577,fake,1,fake,1
frames_cropped_faces_10src,Xception,10_41,fake,20,17,3,0.85,0.508512,0.057078,fake,1,fake,1
frames_cropped_faces_10src,Xception,10_42,fake,20,1,19,0.05,0.422995,0.018422,fake,1,real,0
frames_cropped_faces_10src,Xception,10_43,fake,20,0,20,0.0,0.408068,0.021446,real,0,real,0
frames_cropped_faces_10src,Xception,10_44,fake,20,20,0,1.0,0.529815,0.027298,fake,1,fake,1
frames_cropped_faces_10src,Xception,10_45,fake,20,18,2,0.9,0.49952,0.05092,fake,1,fake,1
frames_cropped_faces_10src,Xception,10_46,fake,20,13,7,0.65,0.47554,0.04041,fake,1,fake,1
frames_cropped_faces_10src,Xception,10_47,fake,20,6,14,0.3,0.430386,0.031079,fake,1,real,0
frames_cropped_faces_10src,Xception,10_48,fake,20,12,8,0.6,0.455604,0.022568,fake,1,fake,1
frames_cropped_faces_10src,Xception,10_49,fake,20,18,2,0.9,0.476446,0.024174,fake,1,fake,1
frames_cropped_faces_10src,Xception,10_5,fake,20,6,14,0.3,0.434571,0.035989,fake,1,real,0
frames_cropped_faces_10src,Xception,10_50,fake,20,0,20,0.0,0.410144,0.019116,real,0,real,0
frames_cropped_faces_10src,Xception,10_6,fake,20,0,20,0.0,0.425272,0.017495,fake,1,real,0
frames_cropped_faces_10src,Xception,10_7,fake,20,2,18,0.1,0.426221,0.028514,fake,1,real,0
frames_cropped_faces_10src,Xception,10_8,fake,20,15,5,0.75,0.47163,0.022123,fake,1,fake,1
frames_cropped_faces_10src,Xception,10_9,fake,20,19,1,0.95,0.509183,0.043787,fake,1,fake,1
frames_cropped_faces_10src,Xception,Ali,real,20,20,0,1.0,0.393091,0.025242,real,1,real,1
frames_cropped_faces_10src,Xception,Elizebeth,real,20,19,1,0.95,0.40978,0.017755,real,1,real,1
frames_cropped_faces_10src,Xception,Ganesh,real,20,2,18,0.1,0.483155,0.027551,fake,0,fake,0
frames_cropped_faces_10src,Xception,aji,real,20,0,20,0.0,0.570302,0.050699,fake,0,fake,0
frames_cropped_faces_10src,Xception,akbar,real,20,11,9,0.55,0.46081,0.037113,fake,0,real,1
frames_cropped_faces_10src,Xception,akhil,real,20,20,0,1.0,0.398394,0.011901,real,1,real,1
frames_cropped_faces_10src,Xception,akshay,real,20,19,1,0.95,0.422192,0.020444,fake,0,real,1
frames_cropped_faces_10src,Xception,alib,real,20,0,20,0.0,0.587469,0.053645,fake,0,fake,0
frames_cropped_faces_10src,Xception,ameen,real,20,5,15,0.25,0.522793,0.1021,fake,0,fake,0
frames_cropped_faces_10src,Xception,ammu,real,20,13,7,0.65,0.440687,0.028069,fake,0,real,1
frames_cropped_faces_10src,Xception,anandu,real,20,6,14,0.3,0.474361,0.028873,fake,0,fake,0
frames_cropped_faces_10src,Xception,anish,real,20,18,2,0.9,0.431484,0.021492,fake,0,real,1
frames_cropped_faces_10src,Xception,ansu,real,20,1,19,0.05,0.507011,0.027319,fake,0,fake,0
frames_cropped_faces_10src,Xception,arnold,real,20,17,3,0.85,0.423951,0.02861,fake,0,real,1
frames_cropped_faces_10src,Xception,assif_,real,20,0,20,0.0,0.542325,0.030204,fake,0,fake,0
frames_cropped_faces_10src,Xception,baptist,real,20,0,20,0.0,0.54793,0.049619,fake,0,fake,0
frames_cropped_faces_10src,Xception,binisha_,real,20,16,4,0.8,0.423804,0.027742,fake,0,real,1
frames_cropped_faces_10src,Xception,chettai,real,20,20,0,1.0,0.407099,0.014759,real,1,real,1
frames_cropped_faces_10src,Xception,chris,real,20,15,5,0.75,0.435617,0.024419,fake,0,real,1
frames_cropped_faces_10src,Xception,christian,real,20,17,3,0.85,0.409391,0.046635,real,1,real,1
frames_cropped_faces_10src,Xception,col,real,20,8,12,0.4,0.450878,0.020019,fake,0,fake,0
frames_cropped_faces_10src,Xception,darwish,real,20,0,20,0.0,0.524226,0.02571,fake,0,fake,0
frames_cropped_faces_10src,Xception,deeps,real,20,18,2,0.9,0.421776,0.025152,fake,0,real,1
frames_cropped_faces_10src,Xception,denna,real,20,16,4,0.8,0.435543,0.031362,fake,0,real,1
frames_cropped_faces_10src,Xception,fathima,real,20,4,16,0.2,0.494111,0.04374,fake,0,fake,0
frames_cropped_faces_10src,Xception,jelvin,real,20,12,8,0.6,0.448816,0.059008,fake,0,real,1
frames_cropped_faces_10src,Xception,jennifer,real,20,17,3,0.85,0.437437,0.011677,fake,0,real,1
frames_cropped_faces_10src,Xception,jissa,real,20,12,8,0.6,0.452296,0.022849,fake,0,real,1
frames_cropped_faces_10src,Xception,kevin,real,20,16,4,0.8,0.42683,0.031447,fake,0,real,1
frames_cropped_faces_10src,Xception,lena,real,20,19,1,0.95,0.410892,0.019188,fake,0,real,1
frames_cropped_faces_10src,Xception,liya,real,20,20,0,1.0,0.406983,0.012454,real,1,real,1
frames_cropped_faces_10src,Xception,liyamom,real,20,15,5,0.75,0.431113,0.028381,fake,0,real,1
frames_cropped_faces_10src,Xception,malu,real,20,0,20,0.0,0.651335,0.054268,fake,0,fake,0
frames_cropped_faces_10src,Xception,nevin,real,20,2,18,0.1,0.478025,0.020756,fake,0,fake,0
frames_cropped_faces_10src,Xception,niranjan,real,20,16,4,0.8,0.429354,0.029968,fake,0,real,1
frames_cropped_faces_10src,Xception,praveen,real,20,20,0,1.0,0.408956,0.016297,real,1,real,1
frames_cropped_faces_10src,Xception,pushpan,real,20,11,9,0.55,0.446923,0.021883,fake,0,real,1
frames_cropped_faces_10src,Xception,rahul,real,20,0,20,0.0,0.542279,0.051336,fake,0,fake,0
frames_cropped_faces_10src,Xception,raju,real,20,3,17,0.15,0.49408,0.035705,fake,0,fake,0
frames_cropped_faces_10src,Xception,rasee,real,20,4,16,0.2,0.473778,0.024735,fake,0,fake,0
frames_cropped_faces_10src,Xception,roshan,real,20,5,15,0.25,0.508729,0.070521,fake,0,fake,0
frames_cropped_faces_10src,Xception,sachin,real,20,20,0,1.0,0.407339,0.017947,real,1,real,1
frames_cropped_faces_10src,Xception,salim,real,20,2,18,0.1,0.519579,0.040117,fake,0,fake,0
frames_cropped_faces_10src,Xception,seethu,real,20,16,4,0.8,0.422351,0.060875,fake,0,real,1
frames_cropped_faces_10src,Xception,shanty,real,20,7,13,0.35,0.479337,0.050454,fake,0,fake,0
